,Marka,Model,EAN,RAM,Flash,SIMM,Kolor,mgsm,source
1,Samsung,GT-B2710,8806071114118,null,50 MB,1,null,null,https://www.euro.com.pl/telefony-komorkowe/samsung-solid-b2710.bhtml#afterSearch-8806071114118||||product
2,Samsung,GT-S3350,8806071464107,null,null,null,null,null,null
3,MaxCom,MM820,5908235972565,null,null,null,null,https://www.mgsm.pl/pl/katalog/MaxCom/MM820/,null
4,Emporia,SolidPlus,9005613115654,null,null,null,null,https://www.mgsm.pl/pl/katalog/Emporia/SolidPlus/,null
5,myPhone,1045 Simply+,5900495230461,null,null,null,null,null,null
6,myPhone,1045 Simply+,5900495222190,null,null,1,null,null,https://www.euro.com.pl/telefony-komorkowe/myphone-1045-simply-czarny.bhtml#afterSearch-5900495222190||||product
7,myPhone,1045 Simply+,5900495222206,null,null,1,null,null,https://www.euro.com.pl/telefony-komorkowe/myphone-1045-simply-bialo-szary.bhtml#afterSearch-5900495222206||||product
8,myPhone,1082 Elegant,5900495222213,null,null,1,null,https://www.mgsm.pl/pl/katalog/myPhone/1082Elegant/,https://www.euro.com.pl/telefony-komorkowe/myphone-1082-elegant-czarno-srebrny.bhtml#afterSearch-5900495222213||||product
9,Alcatel,OT 815D,6958026815822,poniżej 512 MB,40 MB,2,null,https://www.mgsm.pl/pl/katalog/Alcatel/OT815D/,https://www.euro.com.pl/telefony-komorkowe/alcatel-ot-815d-czarny.bhtml#afterSearch-6958026815822||||product
10,Nokia,105,6438158585133,null,null,null,null,https://www.mgsm.pl/pl/katalog/Nokia/105/,null
11,Nokia,Lumia 520,6438158572720,0.5 GB,8 GB,1,null,https://www.mgsm.pl/pl/katalog/Nokia/Lumia520/,https://www.euro.com.pl/telefony-komorkowe/nokia-lumia-520-czarny.bhtml#afterSearch-6438158572720||||product
12,Samsung,Galaxy S IV i9505,8806085594784,2 GB,16 GB,1,null,https://www.mgsm.pl/pl/katalog/Samsung/GalaxySIVi9505/,https://www.euro.com.pl/telefony-komorkowe/samsung-galaxy-s4.bhtml#afterSearch-8806085594784||||product
13,Alcatel,2005D,6958026890621,poniżej 512 MB,null,2,null,https://www.mgsm.pl/pl/katalog/Alcatel/2005D/,https://www.euro.com.pl/telefony-komorkowe/alcatel-ot-2005d-bialo-czerwony.bhtml#afterSearch-6958026890621||||product
14,Alcatel,2005D,6958026831693,null,null,2,null,https://www.mgsm.pl/pl/katalog/Alcatel/2005D/,https://www.euro.com.pl/telefony-komorkowe/alcatel-ot-2005d-czarny.bhtml#afterSearch-6958026831693||||product
15,Alcatel,2005D,6958026831907,poniżej 512 MB,null,2,null,https://www.mgsm.pl/pl/katalog/Alcatel/2005D/,https://www.euro.com.pl/telefony-komorkowe/alcatel-onetouch-2005d-turkusowy.bhtml#afterSearch-6958026831907||||product
16,Alcatel,2010,6958026897828,null,null,null,null,https://www.mgsm.pl/pl/katalog/Alcatel/2010/,null
17,Alcatel,2010,6958026897842,poniżej 512 MB,128 MB,1,null,https://www.mgsm.pl/pl/katalog/Alcatel/2010/,https://www.euro.com.pl/telefony-komorkowe/alcatel-ot-2010-bialo-czerwony.bhtml#afterSearch-6958026897842||||product
18,Nokia,106,6438158619999,null,null,null,null,https://www.mgsm.pl/pl/katalog/Nokia/106/,null
19,Sony,Xperia Z1 C6903,7311271436041,null,null,null,null,https://www.mgsm.pl/pl/katalog/Sony/XperiaZ1C6903/,null
20,Apple,iPhone 5s 32GB,885909781744,null,null,null,null,https://www.mgsm.pl/pl/katalog/Apple/iPhone5s32GB/,null
21,Apple,iPhone 5s 32GB,885909782253,null,null,null,null,https://www.mgsm.pl/pl/katalog/Apple/iPhone5s32GB/,null
22,Apple,iPhone 5s 32GB,885909781959,null,null,null,null,https://www.mgsm.pl/pl/katalog/Apple/iPhone5s32GB/,null
23,Apple,iPhone 5s 16GB,885909784462,null,null,null,null,https://www.mgsm.pl/pl/katalog/Apple/iPhone5s16GB/,null
24,Apple,iPhone 5s 16GB,885909784769,null,null,null,null,https://www.mgsm.pl/pl/katalog/Apple/iPhone5s16GB/,null
